,Date,Open,High,Low,Price,Volume
324,2017-02-22,706.65,709.0,697.8,699.6,79301
325,2017-02-23,702.2,710.0,694.0,697.5,106360
326,2017-02-27,696.0,700.0,690.0,696.9,62863
327,2017-02-28,696.5,698.15,692.5,694.6,34267
328,2017-03-01,698.15,698.55,692.6,694.9,33357
329,2017-03-02,699.5,699.5,688.3,689.75,678465
330,2017-03-03,694.0,694.0,684.6,688.25,35120
331,2017-03-06,690.0,694.55,687.5,690.15,42998
332,2017-03-07,691.0,694.5,688.6,693.05,63520
333,2017-03-08,693.05,699.25,690.4,695.7,529926
334,2017-03-09,693.5,699.0,692.5,697.5,25769
335,2017-03-10,699.25,702.5,697.0,700.1,102113
336,2017-03-14,712.45,712.45,703.8,704.9,588376
337,2017-03-15,705.0,709.5,704.95,708.7,82820
338,2017-03-16,708.7,711.0,707.0,709.1,65591
339,2017-03-17,709.1,714.0,705.65,713.0,85908
340,2017-03-20,712.5,719.5,712.2,717.5,76929
341,2017-03-21,718.0,722.5,718.0,720.75,150877
342,2017-03-22,713.95,718.0,713.1,716.0,1402181
343,2017-03-23,716.95,717.5,712.0,713.0,1309981
344,2017-03-24,715.35,717.25,711.0,712.4,612426
345,2017-03-27,712.4,712.4,703.0,705.7,324653
346,2017-03-28,709.0,712.5,706.6,709.35,1002583
347,2017-03-29,710.0,717.25,709.55,713.9,85062
348,2017-03-30,713.5,738.95,713.5,731.85,203813
349,2017-03-31,726.85,726.85,718.5,721.15,130258
350,2017-04-03,724.4,724.4,714.75,716.35,53478
351,2017-04-04,713.5,713.5,713.5,713.5,1
352,2017-04-05,722.0,723.0,715.0,716.7,65517
353,2017-04-06,716.15,719.85,713.3,717.95,116766
354,2017-04-07,712.5,723.25,712.5,715.0,46398
355,2017-04-10,719.0,720.7,715.75,717.5,46728
356,2017-04-11,718.75,720.85,715.8,717.75,165913
357,2017-04-12,719.5,724.85,717.75,721.75,76564
358,2017-04-13,720.0,724.5,718.75,721.95,34304
359,2017-04-17,720.15,722.5,714.2,718.0,114872
360,2017-04-18,719.25,727.35,719.0,722.85,138662
361,2017-04-19,723.95,727.45,719.25,723.5,91758
362,2017-04-20,725.0,732.8,725.0,730.95,137335
363,2017-04-21,734.0,750.0,727.55,748.35,515480
364,2017-04-24,749.95,769.0,748.65,766.35,530786
365,2017-04-25,767.5,772.5,765.05,765.75,260696
366,2017-04-26,769.05,775.55,764.0,773.7,222954
367,2017-04-27,772.5,786.05,772.5,777.0,196978
368,2017-04-28,779.0,779.0,769.0,771.05,209137
369,2017-05-02,775.0,775.5,765.55,771.0,154637
370,2017-05-03,776.0,777.1,767.6,768.6,185568
371,2017-05-04,770.7,771.0,762.15,767.45,79412
372,2017-05-05,770.0,771.1,763.0,766.05,104290
373,2017-05-08,768.9,769.65,764.55,767.5,81762
374,2017-05-09,767.55,772.85,766.8,766.8,45602
375,2017-05-10,770.5,777.45,769.4,777.0,212285
376,2017-05-11,776.05,780.0,770.05,773.4,210712
377,2017-05-12,772.5,776.45,768.5,774.25,47121
378,2017-05-15,775.65,779.0,772.0,779.0,59587
379,2017-05-16,777.6,781.0,774.4,777.5,38762
380,2017-05-17,779.5,782.5,776.0,779.3,39365
381,2017-05-18,775.0,780.75,775.0,777.55,27688
382,2017-05-19,778.5,784.0,772.55,779.95,46311
383,2017-05-22,783.0,790.0,781.4,790.0,54656
384,2017-05-23,791.45,791.45,782.0,784.3,63426
385,2017-05-24,786.25,787.7,781.0,782.3,38711
386,2017-05-25,785.0,811.95,784.1,808.55,112053
387,2017-05-26,805.0,815.75,801.0,812.85,59279
388,2017-05-29,810.15,824.0,810.0,816.0,49145
389,2017-05-30,814.95,815.95,808.35,815.8,39088
390,2017-05-31,814.5,820.0,812.2,817.5,38889
391,2017-06-01,816.5,819.0,811.5,813.35,52632
392,2017-06-02,817.5,822.5,814.25,817.9,45879
393,2017-06-05,817.5,819.5,812.75,818.0,31057
394,2017-06-06,818.0,821.45,814.5,819.25,34100
395,2017-06-07,819.45,822.45,815.5,820.25,32313
396,2017-06-08,822.5,828.75,821.0,822.75,57782
